CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single
710506683,1,47.0,4,0.0,1.0,0.0,39,3,1,0,1746.0,0,1746.0,0.763,4543,75,0.974,0.0,1,0,0,0,1
721000833,1,49.0,0,0.0,1.0,0.0,38,1,3,2,3599.0,0,3599.0,0.738,13324,110,0.594,0.0,0,1,0,1,0
783573408,1,42.0,4,1.0,1.0,0.0,36,3,1,2,2575.0,2136,439.0,0.722,5267,83,0.886,0.83,1,0,0,0,1
708193008,1,41.0,4,0.0,2.0,0.0,30,3,3,4,14480.0,0,14480.0,0.703,1616,43,0.654,0.0,0,1,0,0,1
789611283,1,44.0,4,1.0,1.0,0.0,38,5,2,3,5452.0,2091,3361.0,0.813,1347,30,0.5,0.384,0,1,0,1,0
773108958,1,55.0,2,0.0,1.0,0.0,48,4,1,1,3011.0,2138,873.0,0.565,4439,75,0.875,0.71,1,0,0,1,0
718555308,1,59.0,1,0.0,1.0,0.0,51,3,4,3,3808.0,713,3095.0,0.787,4845,88,0.63,0.187,0,1,0,0,1
712524858,1,34.0,1,1.0,0.0,0.0,28,1,6,3,2669.0,1649,1020.0,0.63,4314,74,0.609,0.618,0,1,0,0,1
771086208,1,57.0,2,1.0,0.0,0.0,44,3,4,4,6256.0,1530,4726.0,0.647,1629,43,0.344,0.245,1,0,0,1,0
715281933,1,43.0,3,0.0,0.0,0.0,36,3,3,2,1438.3,0,1438.3,0.689,4401,73,0.698,0.0,1,0,0,0,1
712049208,1,56.0,3,2.0,1.0,0.0,39,3,1,2,3955.0,2517,1438.0,0.484,1238,25,1.083,0.636,0,1,0,1,0
793336383,1,47.0,1,0.0,0.0,0.0,41,3,3,4,2709.0,2034,675.0,0.606,4915,92,0.84,0.751,1,0,0,1,0
719625933,1,41.0,3,1.0,3.0,0.0,36,2,2,1,5807.0,1143,4664.0,0.785,8000,96,0.412,0.197,0,1,0,1,0
713316558,1,41.0,4,0.0,1.0,0.0,29,3,2,2,4573.0,0,4573.0,0.703,3776,70,0.944,0.0,0,1,0,1,0
803026008,1,48.0,3,0.0,2.0,0.0,42,3,6,2,6805.0,1448,5357.0,0.836,3463,65,0.711,0.213,0,1,0,1,0
714334383,1,54.0,2,1.0,1.0,0.0,42,6,2,0,3583.0,0,3583.0,1.088,1065,28,1.545,0.0,0,1,0,1,0
758417508,1,50.0,4,0.0,0.0,0.0,43,6,3,4,5908.0,0,5908.0,0.822,3313,72,0.756,0.0,1,0,1,0,0
715025208,1,56.0,2,1.0,0.0,0.0,46,5,3,3,3119.0,1778,1341.0,1.01,4168,63,0.853,0.57,1,0,0,1,0
778372158,1,49.0,5,0.0,1.0,0.0,33,6,3,2,2506.0,1549,957.0,0.752,4747,91,0.936,0.618,1,0,0,1,0
787500333,1,52.0,2,2.0,2.0,0.0,40,6,1,3,8695.0,1407,7288.0,0.634,2030,58,0.706,0.162,0,1,0,0,1
715207458,1,46.0,1,0.0,0.0,0.0,39,2,2,1,2029.0,1074,955.0,0.514,4802,90,0.8,0.529,1,0,0,0,1
715655283,1,42.0,3,1.0,0.0,0.0,33,6,3,3,2363.0,1495,868.0,0.531,4420,65,0.711,0.633,1,0,0,1,0
778430733,1,45.0,5,0.0,1.0,0.0,25,1,5,1,12399.0,1461,10938.0,0.645,7855,82,0.414,0.118,0,1,0,0,1
786546783,1,59.0,0,1.0,1.0,0.0,53,3,2,0,1438.3,0,1438.3,0.896,4457,79,0.927,0.0,1,0,0,1,0
710043408,1,49.0,3,1.0,2.0,0.0,37,4,1,4,15610.0,2048,13562.0,0.657,1916,58,0.526,0.131,0,1,0,1,0
713240133,1,42.0,3,0.0,0.0,0.0,36,4,3,1,9351.0,1482,7869.0,0.464,5099,60,0.714,0.158,1,0,0,1,0
714062958,1,36.0,4,0.0,1.0,0.0,36,6,1,2,9887.0,994,8893.0,0.488,2552,64,0.455,0.101,0,1,0,0,1
710244108,1,44.0,3,1.0,1.0,2.0,34,3,1,3,34516.0,1543,32973.0,0.774,13967,101,0.712,0.045,0,1,0,1,0
712733958,0,46.0,2,0.0,0.0,0.0,36,6,3,3,1731.0,0,1731.0,0.529,2304,46,1.0,0.0,1,0,0,0,1
719474583,1,50.0,1,1.0,2.0,0.0,30,6,2,3,9771.0,1776,7995.0,0.46,2778,53,0.472,0.182,0,1,0,1,0
755959683,1,50.0,5,0.0,0.0,0.0,43,5,1,2,3410.0,2281,1129.0,0.518,1296,31,0.348,0.669,1,0,1,0,0
719632683,1,40.0,3,1.0,1.0,0.0,30,6,3,3,2583.0,2235,348.0,0.508,4500,83,0.509,0.865,0,1,0,0,1
711351108,1,44.0,3,0.0,0.0,0.0,36,3,3,2,2608.0,1804,804.0,0.847,4671,61,0.694,0.692,1,0,1,0,0
779873508,1,51.0,0,0.0,0.0,0.0,35,5,3,4,3132.0,1815,1317.0,1.018,3607,60,0.935,0.58,1,0,0,1,0
778830933,1,40.0,3,1.0,2.0,0.0,21,3,2,0,1804.0,1040,764.0,1.002,5308,78,0.773,0.576,0,1,0,1,0
772054458,1,43.0,3,0.0,1.0,0.0,32,4,1,3,2476.0,1944,532.0,0.881,4025,65,0.585,0.785,0,1,0,0,1
773389908,1,37.0,3,0.0,0.0,0.0,31,5,1,3,1438.3,0,1438.3,0.79,2075,66,0.692,0.0,1,0,0,0,1
709996833,0,31.0,1,2.0,0.0,1.0,36,6,3,5,12359.0,0,12359.0,0.843,7528,70,0.628,0.0,0,1,0,0,1
789983133,1,31.0,2,1.0,2.0,1.0,22,2,3,2,34516.0,1780,32736.0,0.839,14185,98,0.69,0.052,0,1,1,0,0
718246458,1,53.0,3,1.0,2.0,0.0,45,2,1,2,24262.0,1984,22278.0,0.805,8241,105,0.75,0.082,0,1,0,0,1
780219483,1,61.0,0,1.0,0.0,0.0,51,4,2,1,2250.0,1041,1209.0,0.678,1339,28,0.867,0.463,1,0,0,1,0
815500983,1,59.0,1,0.0,0.0,0.0,54,5,3,0,2890.0,2001,889.0,1.334,1860,36,1.0,0.692,1,0,0,1,0
713417433,1,42.0,2,1.0,1.0,0.0,28,3,1,3,1711.0,0,1711.0,0.983,4496,77,0.925,0.0,0,1,0,0,1
718284408,1,43.0,3,0.0,0.0,0.0,30,5,2,2,2415.0,1452,963.0,0.609,3970,68,0.619,0.601,1,0,0,1,0
711535158,0,46.0,1,1.0,0.0,0.0,35,5,3,3,2197.0,461,1736.0,0.636,1955,42,0.448,0.21,1,0,0,0,1
711020358,1,52.0,3,0.0,1.0,0.0,36,5,2,2,2498.0,1650,848.0,0.673,4434,79,0.837,0.661,1,0,1,0,0
716673258,1,60.0,1,0.0,0.0,0.0,36,1,1,3,2347.0,1488,859.0,0.621,3977,83,0.886,0.634,1,0,0,0,1
716151858,1,46.0,3,0.0,2.0,0.0,36,5,1,3,12932.0,1893,11039.0,0.804,15372,97,0.796,0.146,0,1,0,0,1
798007308,1,57.0,3,0.0,0.0,0.0,51,6,1,0,8362.0,0,8362.0,0.528,1175,41,0.464,0.0,1,0,0,1,0
715279683,1,52.0,2,0.0,1.0,0.0,36,5,1,4,1438.3,0,1438.3,0.529,1679,39,0.5,0.0,1,0,0,1,0
716225433,1,60.0,1,0.0,2.0,0.0,51,6,3,4,26566.0,2517,24049.0,0.985,3103,65,0.625,0.095,0,1,0,0,1
770778108,1,49.0,4,2.0,1.0,0.0,35,4,2,3,2527.0,1419,1108.0,0.797,3585,68,0.943,0.562,0,1,0,1,0
717233058,1,34.0,4,0.0,1.0,0.0,26,3,2,4,5540.0,1240,4300.0,0.843,1524,31,0.824,0.224,0,1,0,1,0
718043583,1,50.0,2,0.0,3.0,0.0,40,5,3,4,21794.0,1368,20426.0,0.691,15111,116,0.706,0.063,0,1,0,0,1
714077583,0,43.0,3,2.0,1.0,3.0,31,2,3,4,23981.0,593,23388.0,0.987,4758,65,0.512,0.025,0,1,0,1,0
806649333,1,47.0,4,0.0,0.0,0.0,42,3,3,2,16998.0,1404,15594.0,0.785,13977,127,0.693,0.083,1,0,1,0,0
719767683,0,46.0,0,1.0,2.0,0.0,39,2,3,3,16983.0,0,16983.0,1.061,8526,79,0.837,0.0,0,1,0,0,1
718046433,1,53.0,2,1.0,0.0,0.0,35,1,2,3,2199.0,693,1506.0,0.654,7342,86,0.483,0.315,1,0,0,0,1
720933408,1,56.0,2,0.0,0.0,0.0,36,3,1,2,8438.0,1825,6613.0,0.589,4798,89,0.712,0.216,1,0,1,0,0
714912408,1,45.0,2,0.0,2.0,0.0,37,3,1,1,32275.0,1845,30430.0,0.841,14917,88,0.796,0.057,0,1,0,1,0
714051033,1,55.0,0,1.0,0.0,0.0,36,6,2,4,3615.0,1699,1916.0,0.576,1967,40,0.538,0.47,1,0,0,1,0
719775408,1,41.0,4,0.0,0.0,0.0,36,4,2,3,1438.3,0,1438.3,0.585,5020,85,0.7,0.0,1,0,0,0,1
810875958,0,51.0,3,1.0,0.0,0.0,46,1,4,3,2016.0,395,1621.0,0.711,2473,44,0.571,0.196,1,0,0,1,0
709858533,1,29.0,2,1.0,0.0,0.0,20,4,1,2,2462.0,2021,441.0,0.966,2320,57,0.676,0.821,0,1,1,0,0
714283458,1,40.0,2,1.0,2.0,0.0,36,5,1,4,14544.0,0,14544.0,0.768,4064,92,0.769,0.0,0,1,0,0,1
710572458,1,36.0,3,0.0,0.0,0.0,24,4,1,1,15439.0,0,15439.0,0.742,2069,43,0.536,0.0,1,0,0,1,0
788528958,1,45.0,4,1.0,3.0,0.0,38,1,1,3,9036.0,0,9036.0,0.753,8356,79,0.681,0.0,0,1,0,0,1
753606108,1,56.0,3,0.0,1.0,0.0,49,3,1,3,1438.3,0,1438.3,0.503,1093,22,0.833,0.0,0,1,0,0,1
712281183,1,55.0,4,1.0,3.0,0.0,36,4,2,2,24336.0,856,23480.0,0.459,1425,33,0.65,0.035,0,1,0,1,0
709185108,1,38.0,3,0.0,1.0,0.0,26,5,4,2,5824.0,1542,4282.0,0.827,1801,44,0.571,0.265,0,1,0,1,0
716977758,0,44.0,3,0.0,0.0,0.0,36,2,3,1,3675.0,2517,1158.0,0.766,1913,35,0.667,0.685,1,0,0,1,0
789296133,1,35.0,3,2.0,0.0,0.0,24,1,1,3,12287.0,770,11517.0,0.612,4601,65,0.757,0.063,1,0,0,0,1
788658483,1,53.0,2,1.0,0.0,0.0,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,1,0,0,1,0
741344808,1,39.0,2,1.0,0.0,0.0,32,4,2,4,5634.0,2057,3577.0,1.399,2905,63,0.969,0.365,1,0,0,1,0
711274458,0,38.0,3,0.0,0.0,0.0,27,4,3,3,1438.3,0,1438.3,0.73,2478,45,0.552,0.0,1,0,0,1,0
708864708,1,46.0,3,1.0,2.0,0.0,36,4,2,2,24869.0,1729,23140.0,0.408,1409,36,0.5,0.07,0,1,0,0,1
719105433,1,48.0,3,1.0,0.0,0.0,38,3,3,3,6448.0,1087,5361.0,0.868,4990,85,0.667,0.169,1,0,0,0,1
798047583,1,45.0,4,0.0,0.0,0.0,39,6,3,1,1438.3,0,1438.3,0.825,4596,71,0.732,0.0,1,0,0,1,0
761079783,0,40.0,3,1.0,1.0,0.0,33,5,3,6,5500.0,442,5058.0,0.609,7720,67,0.558,0.08,0,1,0,1,0
721057758,1,61.0,1,0.0,0.0,0.0,47,4,2,3,1438.3,0,1438.3,1.337,1449,27,1.455,0.0,1,0,0,1,0
809292483,1,44.0,4,1.0,0.0,0.0,39,4,2,2,8128.0,1846,6282.0,0.857,1224,32,0.778,0.227,1,0,0,1,0
708469533,1,42.0,3,0.0,0.0,0.0,34,6,3,2,5395.0,1439,3956.0,0.781,3523,79,0.717,0.267,1,0,0,1,0
711557508,1,51.0,2,1.0,1.0,0.0,40,4,3,0,3532.0,764,2768.0,0.681,4066,74,0.574,0.216,0,1,0,0,1
818497758,1,54.0,3,1.0,0.0,0.0,49,4,1,3,1906.0,1271,635.0,0.574,1343,37,0.682,0.667,1,0,0,1,0
780322908,1,52.0,3,0.0,0.0,0.0,38,1,2,3,3281.0,911,2370.0,0.665,4431,67,1.094,0.278,1,0,0,1,0
788772708,1,50.0,2,1.0,0.0,0.0,31,5,1,3,13745.0,0,13745.0,0.53,4432,61,0.605,0.0,1,0,0,1,0
716304483,1,46.0,3,0.0,1.0,0.0,36,3,2,3,3413.0,2372,1041.0,0.7,5029,86,0.792,0.695,1,0,0,1,0
719649408,1,46.0,2,0.0,1.0,0.0,35,6,3,3,13768.0,763,13005.0,0.712,1390,44,0.76,0.055,0,1,0,1,0
715409733,0,47.0,4,1.0,0.0,0.0,36,2,2,3,2263.0,0,2263.0,0.752,2385,33,0.375,0.0,1,0,0,0,1
713132133,1,54.0,1,0.0,0.0,0.0,39,3,2,4,2720.0,1694,1026.0,0.843,5103,81,0.761,0.623,1,0,0,1,0
718826883,0,50.0,3,0.0,2.0,0.0,36,6,3,2,6925.0,0,6925.0,0.821,2506,36,0.44,0.0,0,1,0,0,1
709827933,1,44.0,2,1.0,2.0,0.0,36,3,3,2,12230.0,1196,11034.0,0.62,3659,76,0.52,0.098,0,1,0,1,0
714053358,1,37.0,2,0.0,1.0,0.0,31,6,3,4,3216.0,0,3216.0,0.683,4039,81,1.077,0.0,0,1,0,0,1
