CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
816089433,Existing Customer,49,M,4,2.0,Married,1.0,0.0,44,3,1,1,3343.0,1581,1762.0,1.146,1545,31,0.824,0.473
812222208,Existing Customer,54,F,3,0.0,Single,0.0,0.0,49,6,4,3,9733.0,863,8870.0,0.892,5228,71,0.543,0.089
710106933,Existing Customer,32,M,2,0.0,Single,2.0,1.0,20,2,3,3,34516.0,2136,32380.0,0.849,14667,119,0.75,0.062
716235783,Existing Customer,45,M,3,1.0,Married,1.0,0.0,39,3,2,4,7109.0,866,6243.0,0.572,4047,75,0.667,0.122
712058958,Existing Customer,28,M,0,0.0,Single,0.0,0.0,19,3,3,4,3480.0,0,3480.0,0.731,2744,75,0.829,0.0
713175483,Existing Customer,44,F,2,1.0,Married,0.0,0.0,40,6,2,2,6022.0,871,5151.0,0.6,3745,74,0.423,0.145
814092858,Existing Customer,49,F,3,1.0,Single,0.0,0.0,44,5,2,1,2222.0,694,1528.0,0.903,4372,65,0.711,0.312
716211258,Existing Customer,59,F,1,1.0,Divorced,0.0,0.0,49,6,5,4,4072.0,0,4072.0,0.464,1966,43,1.15,0.0
718977483,Existing Customer,56,M,4,1.0,Single,2.0,0.0,46,2,3,1,25736.0,1388,24348.0,0.743,7209,91,0.596,0.054
712551258,Attrited Customer,39,M,1,0.0,Married,0.0,0.0,36,3,3,3,4247.0,0,4247.0,0.405,847,17,0.133,0.0
808705758,Existing Customer,43,M,3,0.0,Divorced,2.0,0.0,38,6,2,3,20348.0,1732,18616.0,0.674,1624,27,0.688,0.085
