age,dependents,monthly_inc,real_estate,debt_ratio,open_credit,rev_util,late_30_59,late_60_89,late_90,dlq_2yrs
62.0,0.0,3881.0,1.0,0.610252447,6.0,0.9999999,2.0,1.0,2.0,1
61.0,8.0,7000.0,1.0,0.195972004,7.0,0.048090658,1.0,0.0,0.0,0
39.0,0.0,1950.0,0.0,0.283444387,4.0,0.9999999,0.0,0.0,0.0,0
29.0,0.0,4583.0,0.0,0.212478185,5.0,0.942737684,0.0,0.0,0.0,0
47.0,0.0,10104.0,2.0,0.310440376,8.0,0.96981246,0.0,0.0,0.0,0
36.0,0.0,2275.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0
35.0,0.0,4000.0,0.0,0.311172207,9.0,0.700643115,0.0,0.0,0.0,0
28.0,0.0,1400.0,0.0,0.0,0.0,0.9999999,98.0,98.0,98.0,0
25.0,0.0,1400.0,0.0,0.149179158,5.0,0.557067481,1.0,0.0,0.0,0
45.0,0.0,14583.0,1.0,0.221955568,12.0,0.242557447,0.0,0.0,0.0,0
33.0,0.0,3460.0,0.0,0.106616585,6.0,0.244432324,0.0,0.0,0.0,0
61.0,1.0,4221.0,1.0,0.432733302,8.0,0.587155129,1.0,0.0,0.0,0
55.0,2.0,14289.0,3.0,0.388593422,12.0,0.037092084,0.0,0.0,0.0,0
57.0,0.0,8400.0,1.0,0.240447566,5.0,0.0,0.0,0.0,0.0,0
49.0,0.0,10161.0,2.0,0.309584727,14.0,0.0667385,1.0,0.0,0.0,0
59.0,1.0,6000.0,1.0,0.821529745,5.0,0.433718324,3.0,1.0,0.0,1
37.0,3.0,2596.0,1.0,0.541393916,5.0,0.057929097,0.0,0.0,0.0,0
70.0,0.0,10000.0,2.0,0.497350265,18.0,0.223795661,1.0,0.0,0.0,0
87.0,0.0,2500.0,1.0,0.219112355,3.0,0.9999999,1.0,0.0,0.0,1
82.0,0.0,3700.0,1.0,0.101323966,3.0,0.038177208,0.0,0.0,0.0,0
64.0,1.0,15000.0,0.0,0.058929405,7.0,0.403857481,0.0,0.0,0.0,0
30.0,1.0,3000.0,0.0,0.053982006,2.0,0.9999999,0.0,0.0,7.0,1
33.0,2.0,6792.0,0.0,0.119387605,11.0,0.376817633,0.0,0.0,0.0,0
55.0,0.0,8441.0,2.0,0.234423122,16.0,0.078258786,1.0,0.0,0.0,0
43.0,3.0,5300.0,2.0,0.397283531,9.0,0.123375325,0.0,0.0,0.0,0
79.0,0.0,6000.0,2.0,0.357773704,10.0,0.083837294,0.0,0.0,0.0,0
29.0,0.0,7094.0,2.0,0.311768851,8.0,0.071308043,0.0,0.0,0.0,0
72.0,0.0,6768.0,1.0,0.254395036,10.0,0.011219309,0.0,0.0,0.0,0
63.0,2.0,97000.0,1.0,0.011144215,20.0,0.045626547,0.0,0.0,0.0,0
32.0,2.0,1350.0,0.0,0.714285714,1.0,0.9999999,0.0,0.0,2.0,1
42.0,2.0,16934.0,1.0,0.141364039,3.0,0.0,0.0,0.0,0.0,0
42.0,0.0,2750.0,0.0,0.213740458,7.0,0.076708379,0.0,0.0,0.0,0
68.0,0.0,1708.0,2.0,0.576945582,2.0,0.9999999,0.0,0.0,0.0,0
48.0,0.0,3000.0,1.0,0.742752416,11.0,0.377184812,0.0,0.0,0.0,0
53.0,1.0,9400.0,1.0,0.228167216,6.0,0.175970229,0.0,0.0,0.0,0
51.0,2.0,20083.0,2.0,0.43766182,9.0,0.091205212,0.0,0.0,0.0,0
39.0,2.0,2483.0,1.0,1.842995169,11.0,1.118323473,2.0,1.0,0.0,1
43.0,0.0,2000.0,0.0,0.55822089,8.0,0.506443788,0.0,1.0,0.0,0
53.0,1.0,4859.0,2.0,0.713580247,15.0,0.169833037,1.0,0.0,0.0,0
54.0,1.0,43506.0,1.0,0.041947273,7.0,0.428103981,1.0,1.0,1.0,0
78.0,0.0,505.0,0.0,0.162055336,13.0,0.025881776,0.0,0.0,0.0,0
37.0,2.0,6500.0,1.0,0.476080603,9.0,0.024121078,0.0,0.0,0.0,0
30.0,0.0,1965.0,0.0,0.214649034,4.0,0.540918164,1.0,0.0,1.0,1
32.0,1.0,3000.0,1.0,0.523158947,6.0,0.0,0.0,0.0,0.0,0
73.0,0.0,6000.0,1.0,0.34644226,16.0,0.013129472,0.0,0.0,0.0,0
54.0,0.0,8125.0,1.0,0.433300517,9.0,0.094624161,0.0,0.0,0.0,0
39.0,3.0,6500.0,2.0,0.23673281,9.0,0.048190266,0.0,0.0,0.0,0
53.0,3.0,5403.0,0.0,0.163952628,8.0,0.631902946,0.0,0.0,0.0,0
30.0,1.0,6519.0,0.0,0.285429448,10.0,0.472767272,0.0,0.0,0.0,0
40.0,2.0,5000.0,2.0,0.347330534,7.0,0.0,0.0,0.0,0.0,0
61.0,0.0,4000.0,0.0,0.172706823,2.0,0.9999999,0.0,0.0,0.0,0
77.0,0.0,3323.0,1.0,0.512635379,10.0,0.250811037,0.0,0.0,0.0,0
29.0,1.0,3600.0,0.0,0.209386282,4.0,0.650938432,0.0,0.0,0.0,0
78.0,0.0,7650.0,2.0,0.228466867,6.0,0.021419925,0.0,0.0,0.0,0
49.0,2.0,4750.0,3.0,0.952641549,13.0,0.947501989,3.0,2.0,6.0,1
55.0,0.0,2250.0,1.0,1.878276322,17.0,0.010731192,0.0,0.0,0.0,0
57.0,1.0,8385.0,0.0,0.007035535,2.0,0.079956802,0.0,0.0,0.0,0
