product_id|battery_power|has_bluetooth|clock_speed|supports_dual_sim|front_camera_mp|supports_4G|storage_GB|depth_cm|weight|num_cores|primary_camera_mp|pixel_res_height|pixel_res_width|RAM|screen_height_cm|screen_width_cm|battery_talk_time|supports_3G|has_touch_screen|has_wifi|price_range
54085|842.0|No|2.2|NO|1|No|7|0.6|188.0|2|2|20|756|2549.0|9|7|19|No|NO|YES|medium_cost
70390|1021.0|Yes|0.5|YES|0|Yes|53|0.7|136.0|3|6|905|1988|2631.0|17|3|7|Yes|YES|NO|high_cost
77359|563.0|Yes|0.5|YES|2|Yes|41|0.9|145.0|5|6|1263|1716|2603.0|11|2|9|Yes|YES|NO|high_cost
69687|615.0|Yes|2.5|NO|0|No|10|0.8|131.0|6|9|1216|1786|2769.0|16|8|11|Yes|NO|NO|high_cost
71367|1821.0|Yes|1.2|NO|13|Yes|44|0.6|141.0|2|14|1208|1212|1411.0|8|2|15|Yes|YES|NO|medium_cost
61728|1859.0|No|0.5|YES|3|No|22|0.7|164.0|1|7|1004|1654|1067.0|17|1|10|Yes|NO|NO|medium_cost
60288|1821.0|No|1.7|NO|4|Yes|10|0.8|139.0|8|10|381|1018|3220.0|13|8|18|Yes|NO|YES|very_high_cost
59814|1954.0|No|0.5|YES|0|No|24|0.8|187.0|4|0|512|1149|700.0|16|3|5|Yes|YES|YES|low_cost
61241|1445.0|Yes|0.5|NO|0|No|53|0.7|174.0|7|14|386|836|1099.0|17|1|20|Yes|NO|NO|low_cost
52525|509.0|Yes|0.6|YES|2|Yes|9|0.1|93.0|5|15|1137|1224|513.0|19|10|12|Yes|NO|NO|low_cost
72948|769.0|Yes|2.9|YES|0|No|9|0.1|182.0|5|1|248|874|3946.0|5|2|7|No|NO|NO|very_high_cost
78461|1520.0|Yes|2.2|NO|5|Yes|33|0.5|177.0|8|18|151|1005|3826.0|14|9|13|Yes|YES|YES|very_high_cost
56004|1815.0|No|2.8|NO|2|No|33|0.6|159.0|4|17|607|748|1482.0|18|0|2|Yes|NO|NO|medium_cost
62354|803.0|Yes|2.1|NO|7|No|17|1.0|198.0|4|11|344|1440|2680.0|7|1|4|Yes|NO|YES|high_cost
50639|1866.0|No|0.5|NO|13|Yes|52|0.7|185.0|1|17|356|563|373.0|14|9|3|Yes|NO|YES|low_cost
76971|775.0|No|1.0|NO|3|No|46|0.7|159.0|2|16|862|1864|568.0|17|15|11|Yes|YES|YES|low_cost
59401|838.0|No|0.5|NO|1|Yes|13|0.1|196.0|8|4|984|1850|3554.0|10|9|19|Yes|NO|YES|very_high_cost
59646|595.0|No|0.9|YES|7|Yes|23|0.1|121.0|3|17|441|810|3752.0|10|2|18|Yes|YES|NO|very_high_cost
74652|1131.0|Yes|0.5|YES|11|No|49|0.6|101.0|5|18|658|878|1835.0|19|13|16|Yes|YES|NO|medium_cost
54515|682.0|Yes|0.5|NO|4|No|19|1.0|121.0|4|11|902|1064|2337.0|11|1|18|No|YES|YES|medium_cost
60690|772.0|No|1.1|YES|12|No|39|0.8|81.0|7|14|1314|1854|2819.0|17|15|3|Yes|YES|NO|very_high_cost
74809|1709.0|Yes|2.1|NO|1|No|13|1.0|156.0|2|2|974|1385|3283.0|17|1|15|Yes|NO|NO|very_high_cost
67490|1949.0|No|2.6|YES|4|No|47|0.3|199.0|4|7|407|822|1433.0|11|5|20|No|NO|YES|medium_cost
74063|1602.0|Yes|2.8|YES|4|Yes|38|0.7|114.0|3|20|466|788|1037.0|8|7|20|Yes|NO|NO|low_cost
70467|503.0|No|1.2|YES|5|Yes|8|0.4|111.0|3|13|201|1245|2583.0|11|0|12|Yes|NO|NO|medium_cost
64817|961.0|Yes|1.4|YES|0|Yes|57|0.6|114.0|8|3|291|1434|2782.0|18|9|7|Yes|YES|YES|high_cost
77735|519.0|Yes|1.6|YES|7|Yes|51|0.3|132.0|4|19|550|645|3763.0|16|1|4|Yes|NO|YES|very_high_cost
51165|956.0|No|0.5|NO|1|Yes|41|1.0|143.0|7|6|511|1075|3286.0|17|8|12|Yes|YES|NO|very_high_cost
51639|1453.0|No|1.6|YES|12|Yes|52|0.3|96.0|2|18|187|1311|2373.0|10|1|10|Yes|YES|YES|high_cost
58028||No|||3|No|21|0.4||5|7|1171|1263||12|7|10|Yes|||low_cost
51879|1579.0|Yes|0.5|YES|0|No|5|0.2|88.0|7|9|1358|1739|3532.0|17|11|12|No|NO|YES|very_high_cost
70435|1568.0|Yes|0.5|NO|16|No|33|1.0|150.0|8|20|413|654|508.0|5|1|6|Yes|YES|YES|low_cost
59394|1319.0|Yes|0.9|NO|3|Yes|41|0.9|107.0|1|18|85|1152|2227.0|18|5|3|Yes|YES|YES|medium_cost
69202|1310.0|Yes|2.2|YES|0|Yes|51|0.6|100.0|4|0|178|1919|3845.0|7|0|12|Yes|YES|NO|very_high_cost
56048|644.0|Yes|2.7|NO|0|No|22|0.7|157.0|8|3|311|881|1262.0|12|1|15|Yes|NO|NO|low_cost
51418|725.0|No|1.3|YES|16|No|60|0.4|160.0|8|17|1134|1249|1326.0|10|4|15|Yes|NO|NO|medium_cost
67736|589.0|Yes|2.3|YES|1|No|61|0.6|160.0|4|10|429|815|2113.0|13|7|2|Yes|NO|YES|medium_cost
59303|1725.0|Yes|1.6|YES|6|Yes|6|0.5|119.0|2|18|609|1307|3429.0|6|5|4|Yes|YES|NO|very_high_cost
75301|790.0|No|2.0|YES|16|Yes|11|0.3|87.0|6|17|347|730|3169.0|6|1|2|Yes|NO|YES|high_cost
69168|560.0|No|0.5|YES|15|No|50|0.3|159.0|2|20|1448|1613|2150.0|18|12|11|Yes|YES|NO|high_cost
61110|1347.0|No|2.9|NO|5|No|44|0.6|132.0|1|14|434|967|2484.0|18|2|11|Yes|NO|YES|high_cost
78227|1646.0|Yes|2.3|NO|8|Yes|41|0.2|185.0|2|10|1725|1932|3339.0|18|10|19|Yes|YES|NO|very_high_cost
69769|1253.0|Yes|0.5|YES|5|Yes|5|0.2|152.0|2|19|685|714|1878.0|15|0|4|Yes|YES|NO|medium_cost
72913|1656.0|No|1.0|NO|5|Yes|34|0.1|166.0|3|7|880|1456|1629.0|15|12|14|Yes|YES|NO|medium_cost
63227|1195.0|Yes|2.8|NO|1|Yes|20|0.8|110.0|2|14|1580|1652|504.0|9|3|12|Yes|YES|NO|low_cost
53408|1514.0|No|2.9|NO|0|No|27|0.2|118.0|3|1|186|1810|1152.0|8|3|20|No|YES|YES|medium_cost
70313|1723.0|Yes|1.1|YES|1|No|42|1.0|164.0|8|14|202|1791|3587.0|10|5|3|Yes|NO|NO|very_high_cost
60201|1054.0|Yes|1.8|YES|3|Yes|40|0.8|196.0|7|10|27|774|2296.0|16|12|12|Yes|NO|YES|medium_cost
57239|578.0|Yes|2.6|YES|2|Yes|57|0.2|162.0|8|8|1025|1433|1270.0|15|3|5|Yes|NO|YES|low_cost
56632|596.0|No|2.1|YES|9|No|64|0.8|111.0|8|15|885|1854|3238.0|16|13|10|No|NO|NO|very_high_cost
62939|1547.0|Yes|3.0|YES|2|Yes|14|0.7|198.0|3|19|1042|1832|2059.0|5|0|15|Yes|NO|YES|high_cost
60919|1760.0|No|1.4|YES|5|No|63|0.8|127.0|8|19|1382|1383|2053.0|19|12|16|No|YES|NO|high_cost
71042|1654.0|Yes|1.5|YES|0|Yes|43|0.3|109.0|2|0|546|629|3112.0|12|5|10|Yes|YES|NO|very_high_cost
60483|1457.0|No|1.9|YES|1|Yes|16|0.3|102.0|3|10|1013|1287|1440.0|17|8|12|Yes|NO|YES|medium_cost
77233|1073.0|Yes|0.5|YES|0|No|51|0.5|145.0|7|0|690|804|2908.0|6|0|18|No|YES|NO|high_cost
65278|1936.0|No|2.1|YES|10|Yes|46|0.6|104.0|3|20|667|1036|2552.0|14|7|13|Yes|NO|NO|high_cost
72563|||||13|No|60|0.5||8|19|822|1449||14|11|17|Yes|||low_cost
65877|987.0|No|1.3|YES|0|Yes|61|0.4|107.0|3|9|581|820|3963.0|9|4|20|Yes|NO|YES|very_high_cost
60247|1757.0|No|0.5|NO|8|No|49|0.5|180.0|6|14|265|713|2056.0|7|5|4|No|NO|NO|medium_cost
57413|1063.0|No|1.4|YES|2|Yes|48|1.0|128.0|5|4|127|683|2910.0|15|13|9|Yes|YES|YES|high_cost
77191|1484.0|No|3.0|NO|3|No|12|0.6|134.0|3|5|916|969|1457.0|14|4|20|Yes|YES|NO|medium_cost
58925|799.0|Yes|2.3|NO|1|Yes|63|0.8|144.0|8|6|361|975|431.0|15|6|6|Yes|YES|YES|low_cost
68904|1156.0|Yes|1.2|YES|0|Yes|50|0.8|159.0|2|0|322|547|470.0|7|0|15|Yes|YES|NO|low_cost
66390|1720.0|No|2.0|NO|15|Yes|55|0.5|168.0|2|18|753|1353|2148.0|14|2|5|Yes|YES|YES|high_cost
65162|702.0|No|2.6|YES|2|Yes|9|0.7|141.0|3|3|504|1570|2955.0|10|4|19|Yes|NO|NO|high_cost
56293|||||13|Yes|44|0.8||3|17|651|1618||18|8|13|Yes|||very_high_cost
67072|1358.0|Yes|0.5|NO|11|Yes|36|0.3|155.0|4|14|1565|1858|3068.0|9|4|4|Yes|YES|NO|very_high_cost
79932|1866.0|No|1.4|NO|0|No|30|0.5|182.0|3|0|108|1781|3834.0|16|11|8|No|NO|NO|very_high_cost
55552|1242.0|No|1.1|YES|0|No|10|0.6|165.0|2|1|459|1225|1050.0|11|1|4|Yes|NO|YES|low_cost
72136|1166.0|No||YES|0|Yes|43|0.8||4|1|205|603|3993.0|7|1|7|Yes|||very_high_cost
67205|1448.0|Yes|||6|Yes|45|0.8||7|11|570|1724|3378.0|13|11|2|Yes|||very_high_cost
76623|1407.0|Yes|2.4|NO|1|Yes|22|0.7|104.0|4|4|1172|1217|2192.0|9|7|13|Yes|NO|YES|high_cost
70577|605.0|No|1.0|NO|8|Yes|9|0.1|142.0|3|16|160|1026|392.0|15|6|4|Yes|NO|NO|low_cost
52914|1038.0|No|1.2|NO|3|No|43|0.7|141.0|1|5|4|638|3709.0|11|0|12|Yes|YES|YES|very_high_cost
57467|797.0|Yes|2.9|YES|4|No|38|0.5|90.0|4|6|763|1413|590.0|9|2|6|No|YES|NO|low_cost
67599|819.0|No|0.6|YES|8|Yes|42|0.9|188.0|6|20|339|1242|1814.0|5|4|13|Yes|NO|YES|medium_cost
51777|1114.0|No|2.8|NO|4|Yes|9|0.4|197.0|3|15|1040|1071|907.0|10|7|17|Yes|YES|NO|low_cost
77621|1234.0|Yes|1.6|YES|1|No|33|0.6|172.0|1|3|166|778|1449.0|11|7|6|No|NO|YES|low_cost
55149|1199.0|Yes|2.5|YES|15|Yes|16|0.2|116.0|4|20|1168|1552|3448.0|17|13|10|Yes|NO|YES|very_high_cost
54908|1103.0|No|1.0|YES|6|No|29|0.7|111.0|6|8|990|1486|1837.0|8|7|16|No|YES|YES|medium_cost
62055|1589.0|Yes|0.6|YES|0|Yes|58|0.9|85.0|7|7|319|1206|3464.0|19|10|6|Yes|YES|YES|very_high_cost
50448|999.0|No|2.9|YES|11|Yes|64|0.2|199.0|4|19|1397|1616|2593.0|14|11|16|Yes|YES|NO|high_cost
65343|1510.0|Yes|0.9|YES|2|No|45|0.9|180.0|5|3|708|1752|3484.0|9|6|11|No|YES|YES|very_high_cost
64685|1008.0|No|0.8|NO|11|No|61|1.0|114.0|3|15|1077|1122|2009.0|10|3|11|Yes|NO|NO|medium_cost
55689|1127.0|Yes|2.9|YES|5|Yes|57|0.8|163.0|1|13|928|1049|2048.0|11|5|17|Yes|YES|YES|medium_cost
78612|1412.0|Yes|2.4|NO|5|No|25|0.8|96.0|8|17|516|1894|837.0|15|9|4|No|NO|YES|medium_cost
79434|1496.0|Yes|2.0|YES|4|No|42|0.5|182.0|5|5|96|741|854.0|16|0|7|No|YES|YES|low_cost
62705|1083.0|Yes|2.9|YES|1|Yes|64|0.8|178.0|3|11|1025|1118|3210.0|13|3|4|Yes|NO|NO|very_high_cost
59344|668.0|No|0.5|YES|0|No|3|0.1|155.0|5|13|666|1203|2746.0|9|5|8|Yes|YES|YES|high_cost
71994|1309.0|No|1.1|YES|0|No|33|0.5|100.0|4|14|557|1402|2334.0|10|1|11|Yes|NO|YES|high_cost
57427|1724.0|No|2.0|YES|2|Yes|57|0.5|177.0|3|5|1605|1924|2822.0|19|3|16|Yes|YES|NO|very_high_cost
71263|1977.0|Yes|2.0|YES|7|Yes|54|1.0|171.0|7|18|1226|1242|1971.0|18|7|14|Yes|YES|NO|high_cost
78951|885.0|No|2.3|YES|0|Yes|15|0.4|103.0|7|0|769|802|1410.0|16|10|5|Yes|YES|YES|low_cost
70992|879.0|Yes|2.5|NO|11|Yes|14|0.7|83.0|6|15|403|1105|349.0|16|10|2|Yes|NO|YES|low_cost
59768|1322.0|No|1.7|YES|6|No|7|0.8|140.0|3|9|177|1990|1418.0|19|17|12|No|YES|NO|medium_cost
56320|1137.0|Yes|1.0|NO|18|No|7|1.0|196.0|3|19|942|1179|3616.0|13|5|12|Yes|YES|YES|very_high_cost
61217|1355.0|No|2.3|NO|10|Yes|23|0.2|132.0|5|16|651|891|880.0|19|4|8|Yes|YES|NO|low_cost
51765|1665.0|Yes|0.5|NO|3|Yes|60|0.2|194.0|6|18|1572|1684|1601.0|18|17|14|Yes|NO|NO|high_cost
53591|657.0|No|2.5|NO|0|No|37|0.7|141.0|2|1|476|961|1412.0|14|3|18|No|YES|NO|low_cost
78801||No|||6|No|31|0.4||7|7|1233|1317||6|2|7|Yes|||medium_cost
61635|1883.0|Yes|0.5|NO|3|Yes|10|0.3|146.0|6|13|836|1739|2600.0|16|8|20|Yes|NO|NO|very_high_cost
72165|1732.0|Yes|1.1|NO|4|Yes|12|0.8|119.0|8|9|824|881|1308.0|16|7|11|Yes|NO|YES|medium_cost
54700|543.0|No|0.5|NO|0|No|57|0.7|192.0|5|4|391|984|2413.0|17|14|15|Yes|NO|NO|medium_cost
77936|1939.0|Yes|2.8|YES|0|Yes|55|0.6|199.0|4|10|320|520|1047.0|14|10|18|Yes|YES|NO|low_cost
68576|553.0|No|2.4|YES|1|Yes|8|0.5|121.0|7|3|325|902|1204.0|11|4|8|Yes|YES|YES|low_cost
60250|832.0|No|0.7|YES|2|Yes|39|0.7|103.0|4|3|125|1504|1799.0|5|2|11|Yes|NO|YES|medium_cost
63336|1661.0|No|1.9|YES|5|No|23|1.0|172.0|5|10|846|1634|2676.0|12|6|11|No|YES|YES|very_high_cost
72620|1657.0|Yes|2.4|NO|3|No|42|0.1|198.0|5|16|1770|1796|2597.0|18|1|14|Yes|NO|NO|very_high_cost
55839|1135.0|Yes|2.0|YES|0|No|46|0.3|83.0|1|4|293|1846|3029.0|19|17|9|Yes|YES|YES|very_high_cost
59522|1775.0|Yes||NO|3|No|41|0.1|163.0|1|7|1633|1869|2343.0|19|13|14|Yes|YES|YES|very_high_cost
66920|783.0|No|1.8|YES|0|Yes|43|1.0|106.0|3|4|1198|1471|2016.0|16|4|18|Yes|YES|NO|medium_cost
59986|617.0|Yes||NO|0|No|32|0.5||7|20|768|874|2213.0|18|13|7|No|||medium_cost
50306|867.0|No|1.4|YES|0|Yes|4|0.7|135.0|6|1|70|1974|790.0|13|6|3|Yes|YES|NO|low_cost
75182|1310.0|Yes|1.1|YES|13|No|7|1.0|194.0|5|14|117|513|3182.0|8|4|5|Yes|YES|NO|high_cost
52982|1804.0|No|0.5|NO|9|Yes|22|0.6|153.0|7|19|1158|1244|3472.0|9|1|20|Yes|NO|YES|very_high_cost
65933|1900.0|Yes|2.3|NO|1|Yes|18|0.2|89.0|7|9|1055|1661|2871.0|12|1|13|Yes|YES|YES|very_high_cost
